gameId,blueWins,blueWardsPlaced,blueWardsDestroyed,blueFirstBlood,blueKills,blueDeaths,blueAssists,blueEliteMonsters,blueDragons,blueHeralds,blueTowersDestroyed,blueTotalGold,blueAvgLevel,blueTotalExperience,blueTotalMinionsKilled,blueTotalJungleMinionsKilled,blueCSPerMin,blueGoldPerMin
4519157822,0,28,2,1,9,6,11,0,0,0,0,17210,6.6,17039,195,36,19.5,1721.0
4523371949,0,12,1,0,5,5,5,0,0,0,0,14712,6.6,16265,174,43,17.4,1471.2
4521474530,0,15,0,0,7,11,4,1,1,0,0,16113,6.4,16221,186,46,18.6,1611.3
4524384067,0,43,1,0,4,5,5,1,0,1,0,15157,7.0,17954,201,55,20.1,1515.7
4436033771,0,75,4,0,6,6,6,0,0,0,0,16400,7.0,18543,210,57,21.0,1640.0
4475365709,1,18,0,0,5,3,6,1,1,0,0,15899,7.0,18161,225,42,22.5,1589.9
4493010632,1,18,3,1,7,6,7,1,1,0,0,16874,6.8,16967,225,53,22.5,1687.4
4496759358,0,16,2,0,5,13,3,0,0,0,0,15305,6.4,16138,209,48,20.9,1530.5
4443048030,0,16,3,0,7,7,8,0,0,0,0,16401,7.2,18527,189,61,18.9,1640.1
4509433346,1,13,1,1,4,5,5,1,1,0,0,15057,6.8,16805,220,39,22.0,1505.7
4452162573,0,20,3,1,4,4,6,0,0,0,0,15474,6.6,16611,231,28,23.1,1547.4
4453038156,0,33,2,1,11,11,7,1,0,1,0,16695,7.0,18507,157,40,15.7,1669.5
4515594785,1,18,1,1,7,1,11,1,1,0,0,17865,7.4,19102,238,53,23.8,1786.5
4524924257,0,14,3,0,4,9,1,1,0,1,0,14979,6.6,17213,210,52,21.0,1497.9
4516505202,1,15,3,1,4,4,4,0,0,0,0,15722,6.8,17896,224,51,22.4,1572.2
4482120064,0,17,1,0,3,7,3,0,0,0,0,15015,6.8,16974,209,53,20.9,1501.5
4523758462,1,14,1,1,10,2,8,0,0,0,0,19733,7.6,20862,263,56,26.3,1973.3
4503636905,0,43,3,0,3,7,3,1,0,1,0,14852,6.8,16888,203,54,20.3,1485.2
4486384947,1,21,4,1,5,4,11,0,0,0,0,16282,6.8,17378,213,49,21.3,1628.2
4457103291,0,11,3,0,5,9,5,0,0,0,0,14994,7.0,17924,188,48,18.8,1499.4
4472164226,1,14,3,1,11,6,15,1,1,0,0,18606,7.2,19254,214,45,21.4,1860.6
4445294621,0,13,1,0,4,13,5,0,0,0,0,15878,6.8,16945,203,43,20.3,1587.8
4480384157,0,17,2,0,4,6,3,0,0,0,0,15773,7.0,17562,238,56,23.8,1577.3
4520898233,0,78,4,0,4,3,4,2,1,1,0,15906,6.8,19219,238,67,23.8,1590.6
4522124566,1,33,3,0,6,9,10,0,0,0,0,16515,6.8,17223,208,45,20.8,1651.5
4523978853,0,17,1,0,4,8,4,0,0,0,0,15415,6.2,16047,204,44,20.4,1541.5
4507834811,1,18,1,0,8,6,9,1,1,0,0,17178,7.0,17854,209,44,20.9,1717.8
4501319968,0,19,3,1,7,4,9,0,0,0,0,17226,7.0,18982,228,61,22.8,1722.6
4519148589,0,105,5,1,8,6,13,1,1,0,0,17474,6.8,17436,217,53,21.7,1747.4
4484877784,0,18,5,0,3,8,2,1,1,0,0,14905,6.8,17974,233,52,23.3,1490.5
4466931235,1,22,7,1,9,4,10,1,1,0,0,18132,7.0,18076,228,40,22.8,1813.2
4524189570,1,17,4,1,5,2,6,2,1,1,0,16053,6.8,17406,218,51,21.8,1605.3
4503380070,0,12,3,0,6,4,7,0,0,0,0,16438,6.8,16989,203,32,20.3,1643.8
4497858921,0,15,2,1,5,4,4,0,0,0,0,15634,6.8,16355,201,45,20.1,1563.4
4509242024,1,40,2,0,6,4,4,0,0,0,0,16085,7.4,19076,204,56,20.4,1608.5
4524296550,0,24,3,0,3,4,6,0,0,0,0,14981,6.8,17082,235,52,23.5,1498.1
4516034199,0,12,4,0,2,8,2,1,1,0,0,15421,7.2,19276,217,84,21.7,1542.1
4504386463,0,20,2,1,5,6,4,1,0,1,0,15665,6.8,17716,203,48,20.3,1566.5
4523799496,0,11,3,0,7,9,5,1,0,1,0,17528,7.2,19609,234,68,23.4,1752.8
4379931850,0,18,2,0,3,6,3,1,0,1,0,15032,6.6,16832,213,48,21.3,1503.2
4523858150,0,28,3,0,4,11,3,0,0,0,0,15483,6.8,17362,222,48,22.2,1548.3
4459778854,1,36,1,0,10,6,12,0,0,0,0,19226,7.4,20118,231,44,23.1,1922.6
4499523222,1,18,3,0,9,6,14,1,1,0,0,16945,6.8,17806,204,36,20.4,1694.5
4477029310,1,12,2,1,5,5,3,0,0,0,0,15000,6.6,16493,233,16,23.3,1500.0
4525037711,0,18,4,1,3,4,2,1,0,1,0,15888,7.4,19090,252,60,25.2,1588.8
4459414345,0,41,0,0,1,10,0,0,0,0,0,12925,6.4,15498,187,32,18.7,1292.5
4505664040,1,14,4,1,11,2,9,0,0,0,0,19250,7.6,19703,251,48,25.1,1925.0
4439587692,1,19,1,1,8,4,5,1,1,0,1,18355,7.0,18790,218,54,21.8,1835.5
4508000311,1,15,2,0,2,3,2,1,0,1,0,13978,6.6,16429,180,44,18.0,1397.8
4513365614,0,16,1,0,5,5,8,0,0,0,0,15851,6.8,17366,206,56,20.6,1585.1
4473252742,0,14,0,0,7,9,5,0,0,0,0,16474,6.6,17408,209,50,20.9,1647.4
4438138890,1,18,0,0,6,8,6,0,0,0,0,16590,7.0,18284,213,49,21.3,1659.0
4467008289,1,22,4,1,5,2,2,2,1,1,0,15737,7.0,18634,217,53,21.7,1573.7
4492625917,1,37,2,1,5,3,5,0,0,0,0,16990,7.4,19634,248,54,24.8,1699.0
4502901044,0,14,4,0,3,3,2,1,1,0,0,15297,7.0,19210,246,56,24.6,1529.7
4467732013,0,16,2,0,4,10,4,1,0,1,0,15651,7.0,17696,224,53,22.4,1565.1
4514402510,0,17,0,1,5,7,7,1,1,0,0,15587,6.8,16746,181,63,18.1,1558.7
4521277262,1,19,3,1,10,6,11,1,1,0,0,17777,7.2,18131,213,42,21.3,1777.7
4521752962,1,29,3,1,7,5,5,2,1,1,0,16426,7.0,18407,222,55,22.2,1642.6
4514070165,0,12,0,0,10,7,11,0,0,0,1,20278,7.2,19575,236,58,23.6,2027.8
4525056568,0,18,4,0,2,7,0,0,0,0,0,13791,6.6,16437,191,62,19.1,1379.1
4521255103,0,24,3,0,6,7,5,0,0,0,0,16505,7.0,17667,208,70,20.8,1650.5
4510728488,1,18,2,1,6,4,4,1,1,0,0,17277,7.2,19610,229,54,22.9,1727.7
4516919746,1,122,3,1,9,1,10,2,1,1,0,18269,7.2,19659,229,68,22.9,1826.9
4499868617,0,12,4,0,4,10,3,1,1,0,0,14166,6.6,15959,203,41,20.3,1416.6
4514234813,0,52,2,0,6,12,7,0,0,0,0,15456,6.6,16280,188,42,18.8,1545.6
4513591449,0,19,2,0,4,5,2,0,0,0,0,15180,7.0,17773,210,52,21.0,1518.0
4471416203,0,32,4,1,7,8,8,1,1,0,0,16179,6.8,16814,212,46,21.2,1617.9
